,BCH,BCN,BELA,BTS,BURST,DASH,DCR,DGB,DOGE,ETC,ETH,FCT,LTC,MAID,NAV,NXT,REP,SC,STEEM,STR,STRAT,SYS,VRC,XEM,XMR,XPM,XRP,ZEC,BTC
BCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCN,,1.0,0.1274963680341286,0.2451750923829524,0.14596058822241664,0.1865541772651992,0.12281953556956729,0.08521566441402727,0.1791133334582632,0.164895388212758,0.11652223722242212,0.2227010940173777,0.2267973294609173,0.09364436382362328,0.20496291918179302,0.12711413579698136,0.014298003361598135,0.162924401977048,0.09742123336676724,0.15114070110060973,-0.03964347653781983,0.11698918598987719,0.15644781803777844,0.16932393519639885,0.10643559306914417,0.16752711523944308,0.14172155742228493,0.046318688918493195,0.2687679473185856
BELA,,0.1274963680341286,1.0,0.0477657845664656,0.1845363269313961,0.09177372984771116,0.1377704528827294,-0.03042893950031347,0.09466611743457463,0.025981481829180964,0.11723461351853783,0.05773517401291376,0.14608468549523057,0.0783062248117434,0.016284261894628824,0.03564582427734504,0.1487812328497605,0.16406355144201729,-0.024922496246977226,0.10771872858450492,0.23995255345371014,0.015315482896667806,0.09465246863585532,0.0634430904616937,0.09643660740672141,0.12287365456669767,0.09956935251122458,-0.03903174813410509,0.16157055931256373
BTS,,0.2451750923829524,0.0477657845664656,1.0,0.1829388830164125,0.45168177984453584,0.19363947541504084,0.2864194733847923,0.40580380687353146,-0.14128109663774382,0.4464303480736145,0.44774361488517744,0.4260910407948608,0.38432209417918717,0.0938789777588995,0.4006716965002852,0.39012907090072463,0.2932977743431395,0.12714300954639768,0.39206527477648506,-0.5154929059763946,0.1800651338332993,0.25234517684332985,0.3919186849535926,0.3284445749645566,0.40106110634943437,0.4118160812472688,0.056436890658729845,0.45109455591415965
BURST,,0.14596058822241664,0.1845363269313961,0.1829388830164125,1.0,0.16383139279528133,0.0281660905880823,0.03143687398257639,0.043497145578219376,-0.02634235130780669,0.10872953342404296,0.10483555908491006,0.18038039899808964,0.12538404569122438,0.21216050612781692,0.10807090425481691,0.0022771505743697834,0.06385911078630463,-0.03470608480914514,0.1070127268339278,0.017722357231135643,0.02895735431611058,0.18368097118574378,0.10709262826151118,0.15183336900540753,0.07720192277363161,0.11146560867876566,-0.1278546529089019,0.1951966724143157
DASH,,0.1865541772651992,0.09177372984771116,0.45168177984453584,0.16383139279528133,1.0,0.17937415439865595,0.22716496678420836,0.35881197909336227,0.00399152055754495,0.4581871903297433,0.43192583247247124,0.5066856730028849,0.3685534233271305,0.1365636742066064,0.3240552850661557,0.2162894422213328,0.18716762632293976,-0.03571274812189954,0.3406307921595437,0.3715114980452859,0.2901695459179987,0.26148040623328606,0.28404148772016724,0.37862199506688055,0.3909750166202457,0.4278221959632798,0.04087616200353451,0.5484413038211708
DCR,,0.12281953556956729,0.1377704528827294,0.19363947541504084,0.0281660905880823,0.17937415439865595,1.0,0.17631970344531778,0.1345333456583305,-0.14141219094610066,0.1289153063331783,0.19495921467368477,0.27998441654288664,0.23560126439840182,0.011318287092609612,0.11872878748212255,0.0132651221892364,0.005925723089868547,-0.02267858678036392,0.037640051104764406,-0.030477730383362774,0.12011564111911407,0.0774515834035508,0.31880354486289614,0.09186157243570844,0.2410143089416818,0.041118554745078924,-0.06459857025193066,0.3607587673641413
DGB,,0.08521566441402727,-0.03042893950031347,0.2864194733847923,0.03143687398257639,0.22716496678420836,0.17631970344531778,1.0,0.20277585994130592,-0.0636968162718691,0.23611748547906883,0.139722830429378,0.23191848420064246,0.11056307591688501,0.021037523668775072,0.1961398140073797,0.26117050137115744,0.3628705355390893,-0.038464812775408266,0.22179893389220365,0.06161315502701366,0.30365174142396517,0.07016456104271082,0.22659328931450037,0.16369742533451412,0.2319654477001306,0.26987342355654426,-0.005865094384048002,0.2639748728266829
DOGE,,0.1791133334582632,0.09466611743457463,0.40580380687353146,0.043497145578219376,0.35881197909336227,0.1345333456583305,0.20277585994130592,1.0,-0.10013482207145255,0.3031518527373801,0.3959453240233068,0.44425562969067767,0.2656012043909673,0.11265754781724664,0.3597871375315455,0.03682956596222347,0.14323341078575091,0.10178278496752906,0.2963520467748639,0.19201896364199503,0.2329684611967559,0.2943993621489122,0.23083782889095245,0.22180088052487495,0.44252471611676186,0.39736348611075656,-0.0028183549007277293,0.4466874434171958
ETC,,0.164895388212758,0.025981481829180964,-0.14128109663774382,-0.02634235130780669,0.00399152055754495,-0.14141219094610066,-0.0636968162718691,-0.10013482207145255,1.0,-0.1819914459369833,-0.0809022681129775,-0.13107858347747367,-0.12188389656008779,-0.09475405464170734,-0.1445959369327082,0.1999509602229002,-0.008066486122967462,-0.020331088145414913,-0.1026541520327045,0.15996440481160804,0.009776224240896183,-0.028374225170709224,-0.08093765482194926,-0.10589794169024841,-0.12992996153823705,-0.05409497120814209,0.06200290139011535,-0.17053777203299636
