,BCH,BCN,BELA,BTS,BURST,DASH,DCR,DGB,DOGE,ETC,ETH,FCT,LTC,MAID,NAV,NXT,REP,SC,STEEM,STR,STRAT,SYS,VRC,XEM,XMR,XPM,XRP,ZEC,BTC
BCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCN,,1.0,0.15723716985432293,0.18467592444042674,0.18265451540536795,0.19404149150317365,,-0.06312366911655076,0.21671889980931153,,0.020378515727606055,-0.03949882785776673,0.18321402450672397,0.09035320047401572,0.12161856396378266,0.17914341173653636,,0.005305239289776756,,0.24787583975732344,,0.032578750356925944,0.08148666120745732,0.017317806975922077,0.2430638868610578,0.12106372416112468,0.2408285462620381,,0.27419739372880503
BELA,,0.15723716985432293,1.0,0.3415128271906865,0.32698936216184193,0.3792307288823322,,0.04023851660577656,0.46939626822036834,,0.009162917373475738,-0.06224732926677897,0.32214902849532023,0.32656357283817083,0.3567330341871278,0.4766539090730954,,0.07182726420931108,,0.39245705431422107,,0.030355320935117572,0.4561954521194266,-0.048090478907075525,0.33475217248895833,0.21293294944244368,0.3567619763326647,,0.5081633167012973
BTS,,0.18467592444042674,0.3415128271906865,1.0,0.32927400273511426,0.4064329249183623,,-0.041574247294108725,0.6268472263158875,,0.21133773232858807,-0.004258989100007839,0.46561705656428526,0.3860927983213317,0.3101613749408865,0.5670660128503809,,-0.03756126280513702,,0.5627808055358403,,0.06314941858370973,0.36242799828108246,0.15370307597693422,0.3689173807143299,0.3722692629628928,0.4996616048716566,,0.5249074405946985
BURST,,0.18265451540536795,0.32698936216184193,0.32927400273511426,1.0,0.34452029914923815,,-0.021714134858663574,0.38341602635755245,,0.09260424874863937,-0.04468148557312823,0.36640601479400603,0.2620103173601149,0.28427458721711685,0.34576955645279484,,0.04943575347029868,,0.33185590135741366,,-0.029598824845570842,0.23668010905277617,0.04360794934480574,0.31899951198250925,0.165856738696709,0.27428079159407237,,0.48944928450875563
DASH,,0.19404149150317365,0.3792307288823322,0.4064329249183623,0.34452029914923815,1.0,,0.021909468454596126,0.5678750935426781,,0.07772500372270472,-0.10957657621333088,0.42984808395705204,0.39106717866372426,0.29891215902029045,0.5572875368217624,,0.06440220078841506,,0.4925556618041976,,0.11177577822975315,0.3899920843778505,0.1639529287537307,0.4191864476835933,0.3109817611660674,0.44681102288686764,,0.6608666883653577
DCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGB,,-0.06312366911655076,0.04023851660577656,-0.041574247294108725,-0.021714134858663574,0.021909468454596126,,1.0,0.1150533771063068,,0.04045762896373078,-0.062379154960268246,0.12355616079874752,0.10098230157263795,0.05178878334050806,0.08921690655809074,,0.12431217819019404,,0.013758391998097056,,0.06744750456829562,0.08054435840933097,0.046234863496433534,0.07567940999571764,0.07144614546311279,0.000945964758618367,,0.16347005879931317
DOGE,,0.21671889980931153,0.46939626822036834,0.6268472263158875,0.38341602635755245,0.5678750935426781,,0.1150533771063068,1.0,,0.14475591439070068,-0.15373435089636012,0.6158366152028807,0.4134784411920626,0.4105612727011331,0.7142479201115792,,0.13862326180419934,,0.6483090704877338,,0.16234424618088653,0.47209568431533117,0.1582818755794285,0.46240249274864,0.5305398764470303,0.5762401874231221,,0.7464516032718377
ETC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH,,0.020378515727606055,0.009162917373475738,0.21133773232858807,0.09260424874863937,0.07772500372270472,,0.04045762896373078,0.14475591439070068,,1.0,0.012643191977183405,0.12555581445059194,0.15929288201254768,-0.013601139530662236,0.10649228086079553,,-0.034184505127834885,,-0.022019781355887634,,0.02935761850598172,0.02583997292155929,0.010292280460169494,0.01259975545716459,0.07831538286258462,-0.025099223227775122,,0.10696117773951866
FCT,,-0.03949882785776673,-0.06224732926677897,-0.004258989100007839,-0.04468148557312823,-0.10957657621333088,,-0.062379154960268246,-0.15373435089636012,,0.012643191977183405,1.0,-0.24424378317448794,0.05750135948081834,-0.14437916928172065,-0.23146837966713496,,-0.03363275064741349,,-0.10024828836446682,,0.0005147873034304627,-0.14058912795375555,0.02588552174061141,0.004302056728167049,-0.21701544685239935,-0.08203176188612238,,-0.16508704141452302
LTC,,0.18321402450672397,0.32214902849532023,0.46561705656428526,0.36640601479400603,0.42984808395705204,,0.12355616079874752,0.6158366152028807,,0.12555581445059194,-0.24424378317448794,1.0,0.33451148853142837,0.28802211566927055,0.5693137155640583,,0.07481371992566453,,0.4526931859744549,,0.1464622238954544,0.32011383178403324,0.09735772102541086,0.44540960337325136,0.43280871897941436,0.4152627910647734,,0.682413306829727
